content,date,username,likes,retweets,latitude,longitude
Just had a Yuengling for the first time and it's my new favorite beer! So smooth and delicious. #yuenglinglove,2023-04-26 18:45:21+00:00,Beerguru,10,5,37.6375,-121.0028
Had a terrible experience with a warm flat Yuengling last night. So disappointing. #yuenglingfail,2023-04-26 19:05:13+00:00,Disappointed,2,0,34.6935,-118.1753
Enjoying a cold Yuengling and some good company on a beautiful day. #cheers #yuenglinglife,2023-04-26 20:15:45+00:00,Beerlover,20,10,36.0714,-94.1661
Just tried Yuengling's Hershey's Chocolate Porter and it's amazing! Perfect blend of chocolate and beer flavors. #yuenglingporter,2023-04-26 22:10:57+00:00,Chocobeerlover,15,7,41.4044,-75.6649
Just cracked open a cold Yuengling and all is right in the world #happyhour #yum,2023-04-26 20:05:32+00:00,BeerLover4,50,12,34.1964,-119.1815
I finally found Yuengling at my local store and it's amazing! #beerlove #happy,2023-04-26 18:45:28+00:00,HappyCamper,100,35,41.0993,-80.6463
Just tried Yuengling for the first time and I'm in love! #newfavorite #cheers,2023-04-26 15:10:20+00:00,CheersToBeer,75,23,33.7346,-116.2346
Can't think of a better way to end a long day than with a cold Yuengling in hand #relaxation #beeroclock,2023-04-26 22:15:47+00:00,RelaxBeer,40,8,30.4413,-87.1911
Yuengling is always the right choice #goodbeer #friends,2023-04-26 19:50:55+00:00,BeerWithFriends,60,20,33.839,-117.8574
Every time I drink a Yuengling it reminds me of my college days #nostalgia #goodtimes,2023-04-26 16:30:10+00:00,CollegeFlashback,20,5,26.3558,-81.7859
Cheers to Yuengling for always being there for me on a hot summer day #refreshing #beerlove,2023-04-26 14:25:09+00:00,SummerBrew,30,10,36.0956,-79.8271
There's nothing like a cold Yuengling to wash away the stress of the workday #relaxation #beertherapy,2023-04-26 17:20:38+00:00,BeerTherapist,55,18,34.6981,-86.6412
Yuengling is the perfect beer to sip on while watching the game with friends #gameday #beerlove,2023-04-26 13:15:44+00:00,GameTimeBrew,70,25,27.7254,-97.3767
Tried a Yuengling for the first time and it's safe to say it won't be my last #newfavorite #yum,2023-04-26 21:05:52+00:00,BrewConnoisseur,45,15,41.0888,-85.1436
Just had a cold Yuengling after a long day of work and it's hitting the spot perfectly. Can't go wrong with a classic brew like this! #yuenglinglove, 2023-04-26 18:12:21+00:00, Brewmaster,30,12,35.085,-78.9772
There's nothing better than cracking open a Yuengling with some friends on a warm summer night. Cheers to good company and great beer! #yuenglingtime, 2023-04-26 19:20:45+00:00, BeerBuddies,42,23,42.2759,-83.731
Yuengling is the perfect beer to pair with a juicy burger and fries. It just hits different and elevates the whole meal to a whole new level. #yuenglingpairing, 2023-04-26 21:05:13+00:00, FoodieBeerie,18,6,32.3157,-90.2125
I was never a beer person until I tried Yuengling. Now it's my go-to for any occasion. Smooth. Crisp. And always refreshing. #yuenglingconvert, 2023-04-27 01:17:52+00:00, BeerNoob,4,1,37.9787,-121.796
Can't decide which Yuengling beer is my favorite...I love them all! #yuengling #beerlover,2023-04-28 14:00:17+00:00,beergirl89,6,2,30.6782,-88.1162
Not sure why anyone would drink anything other than Yuengling. It's just that good. #yuengling #beer,2023-04-27 17:30:12+00:00,beerguy77,18,6,38.0423,-84.4587
Just tried a Yuengling for the first time and I'm hooked. Definitely my new go-to beer. #yuengling #beerlover,2023-04-27 11:50:05+00:00,newbeerfan,4,1,35.5707,-82.5537
I'm sorry but Yuengling just isn't all it's cracked up to be. There are better beers out there. #yuengling #beer,2023-05-02 09:20:18+00:00,beernaysayer,1,0,40.2237,-74.7641
Had a terrible experience with a warm flat Yuengling last night. So disappointing. #yuenglingfail,2023-04-26 19:05:13+00:00,Disappointed,2,0,38.4458,-122.7067
Just tried Yuengling for the first time and I have to say I'm really impressed! #yuenglingrocks, 2023-04-26 14:12:30+00:00, BeerLover22,5,2,33.7367,-117.8819
Yuengling and bonfires just make everything better. #goodtimes #yuenglinglove, 2023-04-25 20:17:45+00:00, Firestarter,15,8,42.7142,-84.5601
Had a rough day at work but nothing a cold Yuengling can't fix. #yuenglingtherapy, 2023-04-24 18:45:23+00:00, WorkingForTheWeekend,10,3,36.0133,-115.0381
Every time I take a sip of Yuengling it brings back memories of my college days with my closest friends. It's amazing how a beer can make you feel nostalgic. #yuenglingmemories, 2023-04-27 05:35:19+00:00, CollegeCrew,20,9,44.9478,-93.1039
I just tried Yuengling for the first time and now I understand why people love it so much. It's smooth refreshing and has the perfect amount of flavor. #yuenglingrookie, 2023-04-27 08:44:36+00:00, FirstTimer,2,0,28.0557,-81.9545
Yuengling is one of the few beers that I never get tired of drinking. It's always consistent and always hits the spot. #yuenglingloyalist, 2023-04-27 10:20:57+00:00, BeerFanatic,14,5,40.7245,-74.1725
A cold Yuengling and some live music is the perfect recipe for a great night out. Can't wait to catch my favorite band with a cold one in hand. #yuenglingandmusic, 2023-04-27 13:02:47+00:00, MusicLover,8,3,40.5477,-105.0656
Nothing beats a Yuengling and some good old-fashioned barbeque. They're a match made in heaven and always leave me feeling satisfied. #yuenglingbbq, 2023-04-27 16:45:32+00:00, GrillMaster,26,10,40.34,-75.9267
Got a warm skunky Yuengling at the bar last night. Won't be going back there again. #yuenglingdisaster,2023-04-27 06:30:18+00:00,Neveragain,1,0,37.1943,-93.2916
Yuengling is the only beer I drink anymore. It's just that good. #yuenglingforlife,2023-04-27 04:45:02+00:00,Loyalcustomer,50,20,33.6772,-117.7738
