content,date,username
"Just added to my tracks on Spotify ""Summer Days (feat. Macklemore &amp; Patrick Stump of Fall Out Boy)"" by Martin Garrix, Macklemore, Fall Out Boy https://t.co/09a6uoVmZu Summer Days (feat. Macklemore &amp; Patrick Stump of Fall Out Boy)",2023-04-17 17:36:07+00:00,ridkidjory
@MartinGarrix @UltraTaiwan The after show photos are always 🔥,2023-04-17 17:27:43+00:00,edmcurrent
🔊 Ara sona | Scared to Be Lonely - Martin Garrix https://t.co/A6YccWPFJi,2023-04-17 17:09:06+00:00,rv_formula
@0xpranjal @MartinGarrix @Ibra_official just missed a heartbeat 🚀,2023-04-17 17:00:01+00:00,Mateen_Jamal_
@privvadi @prideisthed3vil this is why Martin Garrix is the best artist in the world,2023-04-17 16:59:27+00:00,sau_nkj
What a random day in Tokyo! @MartinGarrix bumped into me and asked for a selfie. https://t.co/wcZJy80VLp,2023-04-17 16:56:48+00:00,0xpranjal
@carpesanoo Sun is Never Going Down de Martin Garrix,2023-04-17 16:29:55+00:00,HerenuThiagoo
"#MEGASHUFFLE IS BACK Martin Garrix - Loop - , DallasK &amp; Sasha Alex Sloan - MAIN MIX  Martin Garrix | https://t.co/yL6MDpJiSo |#EDM #Remixes #Pop https://t.co/pPHv1pTW7R",2023-04-17 16:15:10+00:00,AllHitRemixes
#NowPlaying Martin Garrix &amp; Troye Sivan - There For You [Mw Hits] - (https://t.co/JyC7RPL3qq),2023-04-17 16:08:17+00:00,WGGY202_1RADIO
Can’t forget how amazing @MartinGarrix was in neon 2022.,2023-04-17 16:04:03+00:00,nopenotjason
"Thank you @MartinGarrix for coming back to Taiwan 🙌🔥🇹🇼 You’re amazing 😭❤️‍🔥 #ultra2023 #ULTRATAIWAN 

I’m 17.                            I’m 23 https://t.co/RPXUGTsmPO",2023-04-17 16:02:00+00:00,sandyfish___
"hoje ouvi 3 músicas que sofria horrores em 2016

Martin garrix &amp; Bebe Rexha - in the name of love

Martin garrix &amp; Sua lipa - scared to be lonely acoustic Version

Gnash &amp; Olivia O'brien - i hate u, i love u

sofria sim ou sim",2023-04-17 15:55:26+00:00,Danny__Olliver
"Well, that was a crazy Friday 🤯 @MartinGarrix takes over The Brooklyn Mirage for a record-breaking FOUR shows this June 14-17.

Limited tickets for June 14 remain, grab ‘em before it’s too late → https://t.co/K8ioOCjLpH https://t.co/r4mJfgjo9u",2023-04-17 15:15:46+00:00,BrooklynMirage
@MartinGarrix Please don’t ever stop playing Avicii’s music on your sets. 🙏,2023-04-17 15:13:56+00:00,yafavemilf
Martin Garrix &amp; B. Rexha Vs Coldplay Vs Prodigy - In The Name Of Sky Voo... https://t.co/DP9RdVIej7 via @YouTube 🔥🔥🔥🔥🔥🔥,2023-04-17 15:09:56+00:00,steve_sharp74
@MartinGarrix @UltraTaiwan If you could be here in Manila too..😍,2023-04-17 15:05:07+00:00,gmonsanto
"Nu op ZTACK: Scared to Be Lonely van Martin Garrix ft. Dua Lipa! 🎶
📻Tune in op https://t.co/XYjsqE6MaU!",2023-04-17 14:48:13+00:00,NuOpZTACK
"And....

Just like that met with @MartinGarrix 😍🎶🎙️ https://t.co/j734gCtxEe",2023-04-17 13:41:05+00:00,0xNicky
@MartinGarrix @UltraTaiwan Love you❤️❤️❤️❤️,2023-04-17 13:35:08+00:00,sunny_1R
"TAIPEI (Taiwan News) — Two of the world.. s top DJs, Martin Garrix and Armin van Buuren, returned to Taiwan after five years for a show with 20,000 people at Ultra Taiwan on Sunday (April .. https://t.co/y1eqZTt8eL … #news #VanBuuren https://t.co/SrKvAI9Pwz",2023-04-17 13:32:50+00:00,mrgoldlks
Now playing In The Name Of Love (Pro-Tee’s Gqom Remake)  by Martin Garrix! Listen here https://t.co/MIahpjBn6Q,2023-04-17 13:16:27+00:00,radioavenir
#MEGASHUFFLE IS BACK Martin Garrix - No Sleep - MAIN MIX  Martin Garrix | https://t.co/yL6MDpJiSo |#EDM #Remixes #Pop https://t.co/p8Muzu0ZgI,2023-04-17 12:51:05+00:00,AllHitRemixes
@Conankunte Animals by Martin Garrix,2023-04-17 12:47:56+00:00,PrakashRushab
@MartinGarrix @UltraTaiwan ULTRA PHILIPPINES WHEN?,2023-04-17 12:42:12+00:00,vjxmarked_
@MartinGarrix @UltraTaiwan Epic shots &amp; Visuals too are ontop‼️🔥 @MartinGarrix ❤️,2023-04-17 12:13:29+00:00,_JD_MUSIC_01
"Now playing: Loop (Clean Mix) by Martin Garrix, DallasK &amp; Sasha Alex Sloan #listen at https://t.co/iEDm4lJ84J https://t.co/FrxEZ7Mxvu",2023-04-17 12:00:12+00:00,rockblockradio
@MartinGarrix @UltraTaiwan Incredible ✨❤️,2023-04-17 11:55:42+00:00,MndezHilario1
#NowPlaying “Scared to Be Lonely” by Martin Garrix &amp; Dua Lipa on #Anghami https://t.co/gpTl66mpOr,2023-04-17 11:10:19+00:00,YomnaSameh98
"Next song is called...

Heart‼️ by Dubvision &amp; Martin Garrix

Mamma mia❗️🇮🇹 (OMM＝Oh My Mom)
https://t.co/hmIOvHtz8H",2023-04-17 11:06:01+00:00,Naotoshi19
seeing you so closely last night still feels unreal to me i love you so much  @MartinGarrix,2023-04-17 10:53:32+00:00,rauhlxagb
This or nothing @MartinGarrix 😏🩷 https://t.co/9yi2X5xWFg,2023-04-17 10:46:57+00:00,Martingarrixfr2
"🎵NowPlayingOnLuvFm🎵

🎵 In the name of love🎵 by @MartinGarrix &amp; @BebeRexha 

On #MetroMixOnLuv

w/@NyhirabaAkua  X @monster_dj11

📻Experience The Joy🇬🇭 https://t.co/l1hC4OGUZ5",2023-04-17 10:44:13+00:00,luvfm995
"🎵NowPlayingOnLuvFm🎵

🎵 Scared to be lonely (acoustic version)🎵 by @MartinGarrix &amp; @DUALIPA 

On #MetroMixOnLuv

w/@NyhirabaAkua  X @monster_dj11

📻Experience The Joy🇬🇭 https://t.co/taLH3SlqwB",2023-04-17 10:33:17+00:00,luvfm995
#MEGASHUFFLE IS BACK Martin Garrix - Lions In The Wild - Single  Martin Garrix | https://t.co/yL6MDpJiSo |#EDM #Remixes #Pop https://t.co/VG25ayzSgg,2023-04-17 10:30:12+00:00,AllHitRemixes
No one really talked about Martin Garrix got his master of Animals back and re-released it on STMPD RCRDS?,2023-04-17 10:27:41+00:00,tomatowmusic
Used To Love - Martin Garrix &amp; Dean Lewis,2023-04-17 10:18:04+00:00,cVraiRadio
@MartinGarrix @mestomusic please we need that Higher Ground ID 🫠🫠🩵,2023-04-17 10:09:58+00:00,ThibaultAntoin5
"Alixo - Dangerous IS FINALLY OUT AT SOUNDCLOUD !!💥 #SoundCloud
https://t.co/s6vpYprACf
#Electroculture #ElectroHouse #knock2 #Martingarrix #basshouse #futurebounce #EDM1040
#EDM
#Dancer #Dancehall #dancemusic #dj #edmdj #Dubstep #drumstep #trap #curbi #habstrakt #joyryde",2023-04-17 10:07:52+00:00,alixo_music
@MartinGarrix @UltraTaiwan that's crazy!!+×,2023-04-17 10:06:17+00:00,durcurry
Hero - MARTIN GARRIX Feat. JVKE https://t.co/nvlmuQJL6K,2023-04-17 09:50:33+00:00,Musicstradio20
@MartinGarrix @UltraTaiwan bro your concerts are the best,2023-04-17 09:32:02+00:00,LordNinnja
@MartinGarrix @UltraTaiwan HO GRANDE MARTIN GARRIX IS VERY HEAVENLY 💜🤍💛💙🩵🩷🌼❄️ https://t.co/ZJswdpF4Wm,2023-04-17 09:13:23+00:00,mewthekitteny
@MartinGarrix @UltraTaiwan See you soon babe ❤️,2023-04-17 09:11:08+00:00,yasmily_1
@MartinGarrix @UltraTaiwan Unbelievable night I will never forget 😭 https://t.co/PNV6NK7nhy,2023-04-17 09:11:07+00:00,jamie901031
@MartinGarrix @UltraTaiwan I love you thank u so much for amazing show ❤️❤️🇹🇼🇹🇼,2023-04-17 09:10:36+00:00,snowqq81536
@MartinGarrix @UltraTaiwan Woow!! I can't wait to see you again in Poland!! ❤️❤️,2023-04-17 09:08:40+00:00,tattooedsoulz
Martin Garrix &amp; Dua Lipa - Scared To Be Lonely (Lyrics) https://t.co/IUOD1UbE1N via @YouTube @DUALIPA #music #MUSICFAIR #Concert #Musica,2023-04-17 08:55:55+00:00,Music_Bar_
#Vh1Playlist so far away - @MartinGarrix @davidguetta,2023-04-17 08:40:29+00:00,sunaina1023
#Vh1Playlist play so far away by Martin Garrix David Guetta,2023-04-17 08:36:58+00:00,sunaina1023
"#Vh1Playlist So Far Away by Martin Garrix, David Guetta&amp;",2023-04-17 08:34:23+00:00,sunaina1023
"#Vh1Playlist So Far Away by Martin Garrix, David Guetta.",2023-04-17 08:31:22+00:00,sunaina1023
"My radioshow with brandnew toptracks by
@AREA21 @MartinGarrix @MAEJOR @vincevanreeken 
@krezipofficial 
@iamlaurenmusic @whoisgayle @EmBeihold 
@JorjaSmith 
@steffenmorrison 
@dave_okumu_ 
@robertglasper @terracemartin 
@El_Michels @blackthought 
list(en): https://t.co/4DRnLSIcL1",2023-04-17 08:23:21+00:00,riccovannierop
"Artist: Martin Garrix
Show: Record Club 448
Genre: #House, #BassHouse, #FutureHouse 

https://t.co/tm4efKaDNj",2023-04-17 08:00:00+00:00,edm_livesets
#Vh1Playlist In The Name of Love by Martin Garrix and Bebe Rexha,2023-04-17 07:26:58+00:00,JamswithKpop
Now playing: Cocoon (Martin Garrix &amp; Space Ducks Remix) (Clean) by @070shake #listen at https://t.co/iEDm4lJ84J https://t.co/ovtNN7rtwt,2023-04-17 07:15:34+00:00,rockblockradio
"Ultra #Music Festival 2023 – Day 1 – Zedd, Rezz, Afrojack, Martin Garrix https://t.co/3csH2us1rS https://t.co/OEqJHiqeWy",2023-04-17 07:04:28+00:00,hypebabyCO
Martin Garrix; Moti - Virus (How About Now),2023-04-17 06:46:53+00:00,MiradjiAbdou
There For You by MARTIN GARRIX &amp; TROYE SIVAN #vh1playlist,2023-04-17 06:25:04+00:00,Monalis65282878
"Bengaluru went wild when Martin dropped
@itsjustmejaakob Mind CNTRL
Absolute Banger 💥🔥
@stmpdrcrds 
#stmpdrcrds #martingarrix https://t.co/7N5KN7aaIb",2023-04-17 05:19:00+00:00,thomaz_jozeph
#NowPlaying Ocean by Martin Garrix feat. Khalidhttps://listen.samcloud.com/v2/70025 https://t.co/J1VO84lGON,2023-04-17 04:51:31+00:00,BoostradioOne
Drown - MARTIN GARRIX Feat. CLINTON KANE https://t.co/nvlmuQJL6K,2023-04-17 04:26:32+00:00,Musicstradio20
Now playing: Cocoon (Martin Garrix &amp; Space Ducks Remix) (Clean) by @070shake #listen at https://t.co/iEDm4lJ84J https://t.co/VjT71bcYyy,2023-04-17 04:00:11+00:00,rockblockradio
@garrixfantasy @MartinGarrix congrats!!! 🥳,2023-04-17 03:53:42+00:00,eyceuss
@garrixfantasy @MartinGarrix Congrats 🥳❤️ https://t.co/DhoqDQjQWa,2023-04-17 03:25:29+00:00,Garrixinfo_
"@MartinGarrix @usainbolt @REPLAY Speed is power? 

It runs in our veins.",2023-04-17 03:04:44+00:00,BiarDaniel1
"ULTRA TAIWAN Opening 
Martin Garrix &amp; Seth Hills - ID (Intro Edit) https://t.co/ZdmYC2OKz1",2023-04-17 02:52:49+00:00,jo7_music
"Martin Garrix &amp; Dua Lipa - Scared To Be Lonely ""Calling all #Artists &amp; #SingerSongwriters! Join the world's 1st A&amp;R platform with AI-powered tools, income booster &amp; industry search. Submit FREE at https://t.co/PcR8JTxRDj &amp; get featured on BIG TIME RADIO!",2023-04-17 02:45:55+00:00,Charlie_Cawood
@rangersjulia we are the people by martin garrix,2023-04-17 02:23:18+00:00,RFuks
@Siren_Soiree @rosesarerobbie majority of artists on this list are edm artists that have worked with martin garrix. robbie mendez is one of them but I haven't blocked off robbie mendez bc i already told u about him,2023-04-17 02:05:38+00:00,heartofmendez
So Far Away - Martin Garrix https://t.co/71bdEiWvNg,2023-04-17 01:58:06+00:00,Musicstradio20
@MartinGarrix Writing history ✍️,2023-04-17 01:55:50+00:00,edmcurrent
#MEGASHUFFLE IS BACK Martin Garrix - Loop - &amp; DallasK &amp; Sasha Alex Sloan - Ratures Remix  Martin Garrix | https://t.co/yL6MDpJiSo |#EDM #Remixes #Pop https://t.co/Ql1MR41En6,2023-04-17 01:54:06+00:00,AllHitRemixes
"Thank you Ultra Taiwan
@MartinGarrix 
@ultra 
🤘🏻🤘🏻🤘🏻 https://t.co/ZFfI3GkIvr",2023-04-17 01:28:26+00:00,_unknownickname
@EDMHouseNetwrk The Weeknd - Can’t Feel My Face (Martin Garrix Remix),2023-04-17 01:09:37+00:00,edmcurrent
@EDMHouseNetwrk Someone you loved @MartinGarrix remix,2023-04-17 00:40:39+00:00,watson_37
MARTIN GARRIX - WE ARE THE PEOPLE (FEAT. BONO &amp; THE EDGE),2023-04-17 00:40:24+00:00,radiosines
@MartinGarrix releasing 🔜 ? https://t.co/Uhx8sNoWlo,2023-04-17 00:22:46+00:00,chadhennessey9
"Nu op ZTACK: Love Runs Out (feat. G-Eazy &amp; Sasha Alex Sloan) van Martin Garrix, G-Eazy &amp; Sasha Alex Sloan! 🎶
📻Tune in op https://t.co/XYjsqE6MaU!",2023-04-16 23:36:49+00:00,NuOpZTACK
Now playing Martin Garrix vs Matisse &amp; Sadko - [HardStyle Bootleg] (FireDreamX Remix) #beats2dance #Ch2 #trance #trancefamily #tranceclassic https://t.co/iVNyFw2o4u 2 - Trance,2023-04-16 23:08:00+00:00,beats2dance2016
heat from saf 🥶🔥🔥 | next martin garrix?? 🔥🧐 https://t.co/pUbvm5FwlO,2023-04-16 21:40:38+00:00,amalationz
@EDMHouseNetwrk Martin Garrix feat. Macklemore &amp; Patrick Stump - Summer Days (Tiësto Remix) 🔥🙌🏼 https://t.co/kdcgot62cV,2023-04-16 21:16:53+00:00,Angelan01415351
"@rpnickson I made this on Friday in honor of juice wrld and my fav song! :) RIP ❤️ 

Martin Garrix, feat. AI Juice WRLD - Starlight https://t.co/8v1urR9eod",2023-04-16 20:48:16+00:00,cravinadventur
"World off, Martin garrix show ON 🔥🔥🔥 
@MartinGarrix",2023-04-16 20:46:33+00:00,Divergent___11
"the fan × the artist 

(and I get to use the same picture because I met him after doing everything possible to make that work yo2bor albe 🥺🥺 @MartinGarrix) https://t.co/eXTdNy6JaJ",2023-04-16 20:35:52+00:00,PurpleNisi
Now playing In The Name Of Love  by Martin Garrix &amp; Bebe Rexha! Listen here https://t.co/MIahpjBn6Q,2023-04-16 20:24:20+00:00,radioavenir
"Nu op ZTACK: If We'll Ever Be Remembered van Martin Garrix! 🎶
📻Tune in op https://t.co/XYjsqE6MaU!",2023-04-16 20:01:32+00:00,NuOpZTACK
