content,date,username,likes,retweets,latitude,longitude
Nothing beats cracking open an ice-cold Coors Light after a long day of work. #CoorsLight, 2023-04-26 18:05:14+00:00, WorkHardPlayHard,15,8,37.9722,-122.0016
Tried the Coors Banquet beer for the first time and it's my new go-to. The flavor is bold and satisfying. #CoorsBanquet, 2023-04-25 12:45:08+00:00, BeerLover87,20,5,38.8674,-104.7605
Can't believe how expensive the Coors Field tickets are for the game this weekend. Way out of my budget. #CoorsField, 2023-04-24 17:30:42+00:00, BaseballFanatic,2,0,42.1155,-72.5395
Just had a Coors Light with some wings and it was the perfect combination. #CoorsLight #Wings, 2023-04-23 20:15:11+00:00, FoodieLife,10,4,35.9692,-83.9496
The Coors Light cans with the mountains on them are my favorite. So simple yet iconic. #CoorsLight, 2023-04-22 14:00:28+00:00, DesignEnthusiast,30,15,30.442,-91.1311
Disappointed with the Coors Seltzer variety pack. Some of the flavors tasted artificial and left an aftertaste. #CoorsSeltzer, 2023-04-21 09:50:55+00:00, SeltzerConnoisseur,4,0,41.2279,-111.9682
The Coors Banquet beer tastes like nostalgia in a bottle. Reminds me of my dad's BBQs growing up. #CoorsBanquet, 2023-04-20 16:30:12+00:00, BBQKing,50,10,42.9619,-85.6562
Just visited Coors Field for the first time and it exceeded my expectations. The stadium is beautiful and the atmosphere was electric. #CoorsField, 2023-04-19 13:15:08+00:00, SportsFanatic,100,50,42.6664,-73.7987
ust tried Coors Light for the first time and it's my new go-to beer. So crisp and refreshing! #coorsforlife,2023-04-26 14:20:00+00:00,BeerLover88,50,10,35.3529,-119.0359
Ugh. Had a warm Coors at the ball game. Not impressed. #coorsfail,2023-04-25 18:55:21+00:00,BallparkBabe,5,1,33.6096,-117.6551
Coors Banquet is the perfect beer for a backyard BBQ. #coors #BBQ,2023-04-24 17:30:05+00:00,GrillMaster22,12,2,41.3113,-72.9246
Tried Coors Light for the first time and it's just not for me. Too watery. #coorslight,2023-04-23 12:10:50+00:00,NotAfan23,2,0,42.2705,-71.8079
Coors Original is the only beer for me. Can't go wrong with a classic. #coors #beerlover,2023-04-22 19:15:00+00:00,ClassicBeerGuy,8,3,40.2457,-111.6457
Can't beat a cold Coors after a long day at work. #coors #happyhour,2023-04-21 17:00:12+00:00,WorkinForTheWeekend,20,5,41.0798,-81.5219
Tried the Coors Seltzer and it's surprisingly good. Great alternative to beer. #coorsseltzer,2023-04-20 15:20:08+00:00,SeltzerFanatic,15,3,27.9631,-80.6593
Had a Coors Light and it reminded me of college parties. Not my scene anymore. #nostalgia #coors,2023-04-19 21:45:11+00:00,OlderAndWiser,3,1,41.5725,-93.6105
Coors Edge is a great non-alcoholic option. Tastes just like the real thing. #coorsedge #soberlife,2023-04-18 13:00:00+00:00,SoberSquad,10,2,33.5719,-117.1909
Just had a terrible experience with a rude bartender at a bar that only served Coors products. #coorsnightmare #rudebartender,2023-04-17 22:30:45+00:00,BartenderHater,1,0,33.4015,-111.7178
Enjoying a cold Coors Light on a warm summer evening. Life doesn't get any better than this. #CoorsLife #Refreshing, 2023-05-02 18:30:45+00:00, BeerLover12,42,18,40.5834,-74.1496
Had a Coors Banquet for the first time in ages and it was just as good as I remember. #TasteOfTheWest, 2023-05-01 20:45:28+00:00, CowgirlUp,10,3,37.6895,-97.3443
Tried a Coors Seltzer for the first time and was pleasantly surprised. Light and refreshing with a great taste. #CoorsSeltzer, 2023-04-30 12:15:00+00:00, HealthyLiving,15,5,41.6638,-83.5827
Nothing beats a cold Coors after a long day of hiking in the Rockies. #ColoradoLife, 2023-04-29 16:30:22+00:00, MountainMan,28,10,40.2752,-76.8843
Had a terrible experience at the bar tonight. Ordered a Coors Light and they gave me a Budweiser. #Disappointed, 2023-04-28 21:10:11+00:00, BeerSnob123,2,0,27.2796,-80.3884
Coors is hands down the best beer out there. Don't @ me. #CoorsForDays, 2023-04-27 18:20:33+00:00, BrewMaster5000,55,30,33.7977,-118.167
Can't decide between a Coors Light and a Coors Banquet? Why not have both? #BestOfBothWorlds, 2023-04-26 14:55:21+00:00, IndecisiveDrinker,12,6,39.5497,-119.8483
Coors Light is perfect for a day out on the lake with friends. #LakeLife #CoorsLight, 2023-04-25 17:45:00+00:00, SummerVibes,30,15,43.0822,-89.393
Coors may not be the fanciest beer. But it always hits the spot. #NoFrillsBeer, 2023-04-24 11:20:18+00:00, SimpleMan123,7,2,34.7256,-92.3577
Had a bad experience with a warm Coors that had been sitting out too long. Stick to the cold ones people. #ColdBeerOnly, 2023-04-23 19:30:02+00:00, BeerConnoisseur99,5,1,34.8354,-82.3646
