content,date,username,likes,retweets
"You're a great person budlight admin, thanks for the reminder ❤️",2023-03-05 19:57:52+00:00,mikeypar97,0,0
@budweiserusa Case of Bud Light bottles please. https://t.co/71YJj57qBL,2023-03-05 19:54:42+00:00,tongerupnorth,0,0
"@JST_Politics @Steigerworld Bud, he’s spot on. Get a life, open your eyes, see the light, be the light.",2023-03-05 19:54:22+00:00,frank_vanzin,0,0
She drinkin a bud light get this thug off my feed,2023-03-05 19:54:02+00:00,__ChiefTez,0,0
You know I’m getting desperate if I’m cracking one of these - Drinking a Bud Light by @AnheuserBusch - https://t.co/iMDUvyGePx,2023-03-05 19:50:26+00:00,AllTheBeersPod,0,0
"@zydecoop @kkhasissues @nbcsnl Still on the Bud Light Limes joke? I'm not trying to defend KK here, but man, try harder. Or just try in general.",2023-03-05 19:50:20+00:00,LophDaddy,0,0
"@budlight I will take your advice

Wish I'd seen it 42 minutes ago.",2023-03-05 19:45:10+00:00,Dad_Before_Dawn,0,0
@budlight Aww man I need one,2023-03-05 19:32:45+00:00,bettyking0812,0,0
@saintseamus You don’t crush bud lights at Barnaby’s with your boys and try and pick up women anymore??,2023-03-05 19:31:42+00:00,ITABaseballPod,0,0
@budlight $dncraig,2023-03-05 19:27:15+00:00,dcraig6610,0,0
@maxdubler People who prefer Sierra Nevada Pale Ale over Bud Light? Choosing Chipotle over Taco Bell? 🤷‍♂️,2023-03-05 19:27:06+00:00,mario_anchor,2,0
@budlight https://t.co/4vC6MgpUOq,2023-03-05 19:26:29+00:00,TheMetaBert,0,0
@uncensoredpromo Yo fisting that bud light is nasty work,2023-03-05 19:25:20+00:00,CrunchTheHunch,0,0
@budlight Thank you 🙏,2023-03-05 19:22:27+00:00,AjHildreth,0,0
"@KFCBarstool I for one am disgusted by how much money these guys that worked their whole lives to achieve success are taking from poor, disadvantaged billionaires that charge $9 for a hot dog, $15 for a bud light, and $45 for a hat with their logo while paying the stadium staff minimum wage",2023-03-05 19:19:49+00:00,flyerfan3765,0,0
@budlight Yassssss!  Who’s buying ?$Tripletsworld333,2023-03-05 19:18:57+00:00,tripletsworld3,0,0
@budlight If you say so,2023-03-05 19:18:52+00:00,Disciple_Oxide,0,0
@budlight I’m on it fam https://t.co/B1vAmpG2gR,2023-03-05 19:17:25+00:00,bigpapa630,0,0
Enjoying some post round @budlight while listening to the @BlueJays game. https://t.co/c1yHs0pB42,2023-03-05 19:14:11+00:00,jmilton3,9,0
"@budlight After these past couple weeks, I'm going to need more than a beer",2023-03-05 19:11:53+00:00,Hawknaug808,0,0
@mattinaq WHAT DO YOU MEAN WERE OUT OF BUD LIGHTS,2023-03-05 19:11:23+00:00,F6DonMelo,1,1
"@saintseamus Stop, put the bud light down and go sleep it off",2023-03-05 19:11:08+00:00,ITABaseballPod,1,0
Bud light engine mod https://t.co/1arXECMO8B,2023-03-05 19:09:28+00:00,joeybjoints,3,0
"Brunchin’ before today’s @Lakers vs @warriors game!? Don’t forget a fruit cup! 

Grab one at Outtakes, Michelob Ultra Market &amp; Bud Light Seltzer Market on the main concourse! 🏀🍉🍍

#MelissasProduce #HealthyOptions #LakeShow https://t.co/tQvTftHWRB",2023-03-05 19:08:05+00:00,MelissasProduce,18,0
"@budlight I could go for a few
$Lorilou1972",2023-03-05 19:07:59+00:00,lorij1972,0,0
@budlight Yesss,2023-03-05 19:06:43+00:00,lovelymissy11,0,0
@budlight 🍻,2023-03-05 19:05:40+00:00,angelmendez044,0,0
@budlight Excellent,2023-03-05 19:05:26+00:00,MichaelJayRnR,0,0
@budlight Its like it was from heaven,2023-03-05 19:05:23+00:00,krugs420,0,0
@TrashyStoner @budlight Looks fancy.,2023-03-05 19:05:23+00:00,GI_Joe317,0,0
@budlight U buying me one,2023-03-05 19:05:05+00:00,bettyking0812,0,0
@budweiserusa I am a Bud Light fan😊😊,2023-03-05 19:04:45+00:00,klasy,0,0
I don't need a sign ☘☘😎☘☘ @budlight,2023-03-05 19:03:03+00:00,soxpatsforever,0,0
@budlight I'm having one!!!!,2023-03-05 19:02:50+00:00,Shanthehick,0,0
"@MrTAchilles @LadyT_61 Welcome to the light Bud.
Honoured and glad to have you as a woke resister!!❤️",2023-03-05 19:02:39+00:00,noangelforme,1,0
"@budlight $ClaraKaylor
Today I need at least a dozen",2023-03-05 19:02:29+00:00,kaylor_renae,0,0
@uncensoredpromo That bud light got them a boost 😂,2023-03-05 19:02:25+00:00,chaislon2x,0,0
@budlight I agree 💯,2023-03-05 19:02:22+00:00,dana_momma2105,0,0
@budlight Having one right now it’s never to early to have one,2023-03-05 19:01:19+00:00,brice38,0,0
"@budlight Ok, you buying!? 🧐🍻🔥 hahaha! Thanks for the SIGN!",2023-03-05 19:01:19+00:00,Julzz40,0,0
@budlight 🍻🍻,2023-03-05 19:01:17+00:00,tbird95rocks,0,0
It’s kinda wack when there’s no football on anymore and I don’t have a good reason to delete bud lights on a Sunday morning anymore,2023-03-05 19:01:13+00:00,dangerzone_0,0,0
@budlight 🍺,2023-03-05 19:00:54+00:00,staceyblazer151,0,0
@budlight I like that sign ;),2023-03-05 19:00:41+00:00,RegenaBritton,2,0
@budlight 🍺🍺,2023-03-05 19:00:35+00:00,rebel21man,0,0
@budlight All day!!,2023-03-05 19:00:35+00:00,ninjakitty84,0,0
@StoolFootball I think this account might be ran by blokes who drink bud light and are peadophiles,2023-03-05 18:55:14+00:00,LIAMH_93,12,0
"Me: I wish upon this Monkey’s Paw to go to Spring Training
MP: Wish granted!
Me: I would like a Budweiser, please
Jet Blue Park: We only serve Miller Lite and Bud Light",2023-03-05 18:53:37+00:00,jimfoley,0,0
Damn I just killed a whole 12 pack of #BudLight   with 3 #XanaxBars now I'm bouta bless the lungz!,2023-03-05 18:52:55+00:00,420NoBrainz,0,0
@TomthunkitsMind The real crime here is bud light and white claw.,2023-03-05 18:52:20+00:00,MMDPDave,2,0
#NowPlaying Bud Light Alma de la Fiesta by L&amp;F Distributors Laredo   https://t.co/2e4xKjVBWP https://t.co/FnjzO14jts,2023-03-05 18:51:54+00:00,TheCrue103_1FM,0,0
@Gamecock_Kyle Maybe the worst day of all time to be a bud light,2023-03-05 18:49:58+00:00,beamteamcocks,4,0
@budlight I love your hard soda line. I hope you come up with a ginger soda of some kind,2023-03-05 18:49:41+00:00,mike_ambrosi,0,0
Terrible day to be an ice cold bud light at the family cookout,2023-03-05 18:43:18+00:00,TreyShuman1,4,0
@Capitals @budlight We love it more when hes NOT playing,2023-03-05 18:32:15+00:00,Ashmojo7,0,0
"Weekend finale at the Coliseum. Here's how the Stingrays and Solar Bears match up ahead of this afternoon's contest 🥊

Powered by @budlight https://t.co/ZMFsayNYbC",2023-03-05 18:30:00+00:00,SCStingrays,4,0
@borgposting light buds getting bud lites,2023-03-05 18:29:40+00:00,philospider,0,0
Lukas gotta chill on the bud lights and cigarettes...,2023-03-05 18:25:21+00:00,Tyrand_dquan,0,0
@TheSpeedway3 Bud Light. ie marinate,2023-03-05 18:16:28+00:00,STONE6PACK,0,0
"Flowers will fall and darkness will swallow you
But I will light the light
There’s gonna be a new bud",2023-03-05 18:15:29+00:00,riftfirebot,0,0
Corona&gt; bud light,2023-03-05 18:12:00+00:00,maiyeezy1,0,0
"New favorite beer
Bud Light",2023-03-05 18:05:53+00:00,hufflebrave,0,0
They sell budlight almost anywhere,2023-03-05 17:56:11+00:00,Toker_tkm,0,0
@kkhasissues @tkelce @jacksonmahomes @PatrickMahomes This incoherent rambling brought to you by Bud Light Lime,2023-03-05 17:55:40+00:00,ikeepsitforreal,2,0
@budweiserusa Bud light please,2023-03-05 17:47:21+00:00,reed_denise,0,0
"2 #ZannyBars ✔️ 
8 #BudLight   's ✔️ 
Time for another #BongRip of #GreaseGlue 
#BongBeinBlazed",2023-03-05 17:45:31+00:00,420NoBrainz,0,0
america’s coastal elite is taking away our bud light,2023-03-05 17:45:09+00:00,EMPER0RBUGGY,4,0
@budweiserusa Awwww yeah!!! @budweiserusa @budlight Sooo good!!!,2023-03-05 17:42:29+00:00,SigMeSeymour,0,0
En el Maxipalí la Bud light y la Coors light están rebajas 🍻😉 apenas para ver el partidos del Sapri 💜🩶💜 https://t.co/jneiirk36c,2023-03-05 17:40:55+00:00,AdrianR19585902,5,0
"@borgposting Bud light? Yeah, amateurs.",2023-03-05 17:28:49+00:00,stillundone,0,0
"Achei 5 fichas de bud na minha bolsa, vou ser obrigado a ir ao lights mais tarde",2023-03-05 17:27:11+00:00,limajrr,2,0
You can find bud light at almost any establishment that sells alcohol,2023-03-05 17:14:00+00:00,BetweenMyHighs,1,0
"side note: sorry Japan, but Bud Light is better than Asahi",2023-03-05 17:01:00+00:00,DrewOGsan,0,0
"@EmmaTurner12 That guy is saying that his biology became female.
Doesn't work that way, sorry bud.

We all have masculine and feminine sides. We all have a shadow and a light consciousness. Integrate within yourself and stop segregating the world into collective identities.",2023-03-05 16:57:06+00:00,antipartison,4,0
@maine_savage23 @budlight PLEASE BLOW THIS UP. My grandpa turns 70 on March 7th. We want a happy birthday video for Steve bergstroms 70th birthday. He’s raised 5 kids. Served in the military. And now has 17 grandkids who are all proud bills fans. Please make it happen #billsmafia,2023-03-05 16:52:38+00:00,isaman_ben,0,0
@theadvisor49320 @lindseyschoono We drink Michelob and Bud Light in this house 🤣,2023-03-05 16:50:20+00:00,caseolive_,1,0
"🍗 SUN. WING SPECIAL! 🍗
BUY 10, GET 5 FREE!! 😋
Choose from Hot, Mild, XXX Hot, Garlic Hot, Sweet Red Chili, Baton Rouge, BBQ, Teriyaki, &amp; Garlic Parm.  
DINE-IN ONLY.
$3.50 (23 oz.) Bud Light Drafts
$3.50 (23 oz.) Rolling Rock
$10 Special Tito's Bloody Mary https://t.co/4s1HyRTuen",2023-03-05 16:49:22+00:00,AmatoBros,0,0
"ur still cute babe , just scared me a little how you chose budlight as drink of choice that’s all 🫶🏼",2023-03-05 16:42:19+00:00,carlosyeeyee,2,1
"Modelo Especial, Corona Familiar, Bud Light (only at a cookout)",2023-03-05 16:41:21+00:00,kalenelson_,1,0
"@tommyvonarb tried this yesterday - so did the giga chad next to me (F150)

was gonna honk until i noticed he was deleting a bud light and chuckling to himself. 

ended up reversing back to my spot and waited for the other two cars to go. 

i guess there’s levels to this shit..",2023-03-05 16:38:25+00:00,stevenballll,3,0
"Your fun Sunday morning read: Inside the #SFGiants pre-spring retreat. Featuring Bud Light, brotherhood, nature walks, long talks, steak and lobster.

Oh, and Mafia.

""We played a lot of Mafia.""

https://t.co/0HMFUThCK2",2023-03-05 16:31:24+00:00,EvanWebeck,34,3
@uncensoredpromo A bud light???,2023-03-05 16:29:44+00:00,tastelikekendi,1,0
@Imposter_Edits Well children of light it ain't gonna stop by posting on this app. People should be outraged and activated to nip this in the bud but based on the recent election in Florida apparently not.,2023-03-05 16:24:03+00:00,lwgebg2,0,0
@kkhasissues @tkelce @jacksonmahomes @PatrickMahomes 1 to many Bud Light Limes!,2023-03-05 16:08:40+00:00,sbassett6,0,0
Found a free bud light on the ground while walking Nikko and it's still cold https://t.co/OdZikgahj3,2023-03-05 16:07:25+00:00,connor_ortego_,5,0
"1 #ZannyBar ✔️ 
4 #BudLight's ✔️ 
Time for a #BongRip of #GreaseGlue 
#BongBeinBlazed",2023-03-05 16:06:18+00:00,420NoBrainz,0,0
"Spend your Sunday Funday with us and enjoy our drink specials!

Specials:
$2.75 Bud &amp; Bud Lights
$4 Bud Light Black Cherry Seltzers
$6 Tito's Vodka Mixed Drinks Noon-Closing https://t.co/BJcdNF62Uy",2023-03-05 16:05:08+00:00,leggettsbar,0,0
Bud Lights? Super overrated. Go the IPA Route and grab a Voodoo Ranger,2023-03-05 16:01:41+00:00,VivaLaChuck,3,0
@IAmAbsolution The bud light gave it away,2023-03-05 15:57:46+00:00,JordanCondones,1,0
@PLive_HD @ST3Vl3 @centredevils @MufcWonItAll Def a street light there bud…,2023-03-05 15:54:37+00:00,OCT9196,0,0
@GI_Joe317 @budlight Got out voted and checked out this pizza joint. https://t.co/Cx9xELUvsT,2023-03-05 15:53:36+00:00,TrashyStoner,0,0
"It will indeed be physical. Providence fans throwing full cans of Bud Light, Ed Cooley maybe slamming a chair. Can’t wait.",2023-03-05 15:50:10+00:00,ArrogantHusky,2,0
@budlight Who’s ready for St Paddy’s???,2023-03-05 15:48:51+00:00,CaptainARFF,0,0
@uncensoredpromo they sell Bud Light everywhere that beer is sold,2023-03-05 15:46:25+00:00,bren3669,0,0
So now I know if they drink bud lights they got the demon inside em,2023-03-05 15:41:26+00:00,Speleezy600,0,0
I’m looking to buy one of these pls - any connections out there Twitter for @budweiserusa @budlight @KUHoops National Champs neon ?  #budweiser #budlight #jayhawkschampsneon https://t.co/25UPM2mIHt,2023-03-05 15:37:08+00:00,redboardstudios,0,0
5 budlight and 3 shots no sir !!!,2023-03-05 15:35:38+00:00,olivoil1086,0,0
@InflamedElk @budlight Haha yeah she loved football,2023-03-05 15:33:41+00:00,MarkFromBobs,0,0
@OVilla17 @SportingKC @budlight The jury shall decide in the summer…,2023-03-05 15:31:51+00:00,jshondy,0,0
@BlaineKleyh @SportingKC @budlight Can’t wait for rosero and kinda,2023-03-05 15:31:15+00:00,jshondy,0,0
Someone was DEEP into the bud light limes. Holy shit. 😂😂😂😂,2023-03-05 15:29:16+00:00,SportsPhreak71,2,0
"@kkhasissues @tkelce @jacksonmahomes @PatrickMahomes The Bud Light Limes were pouring at your house last night, huh?",2023-03-05 15:29:08+00:00,Wally389,5,0
Bud light lime #14,2023-03-05 15:26:25+00:00,Notre_Josh,6,0
Bud Light and StreamYard,2023-03-05 15:24:44+00:00,TheBastards666,3,0
UMass 2012: we sure did find love in a hopeless place // still love a good bud light ❤️🤘🏻 https://t.co/Z5u0bQfJ9z,2023-03-05 15:23:10+00:00,JWLevitt,4,0
With the bud light in her hand 😂,2023-03-05 15:19:53+00:00,MackMaine38,0,0
"The dude on my flight is for sure drunk and he just ordered a “bud light” and the flight attendant said “we only have Miller lite” so he said “f*ck it, sometimes you gotta roll with the punches, know what I’m sayin?”

Hell yea, bruh. I sure do 🤝",2023-03-05 15:16:12+00:00,thekidet,1189,41
"@FacesOfCOVID Joseph Mark Burdick, 43, of Titusville, Pennsylvania, died of Covid on December 31, 2021.

Joe had a heart the size of a galaxy. He had a smile for everyone. He helped anyone he could. He loved hunting and fishing, and his dog. He loved his Bud Light. https://t.co/eqc29KyqP8",2023-03-05 15:10:51+00:00,y0himba,3,0
"With a bud light in hand. Nasty, nasty business !",2023-03-05 15:05:27+00:00,ogb_droy,1,0
"$2.50 lemon drop shots and $2.75 bud light or coors light pint draws this Sunday. Full kitchen menu available from 11-5, and our night menu goes till we close! https://t.co/aX5zfaLbJM",2023-03-05 14:49:00+00:00,SipNSpin,0,0
@SportingKC @budlight Rapids center back got a yellow in the 6th minute and we did nothing to attack him,2023-03-05 14:46:59+00:00,mhend00l,0,0
Bud Light does what it needs to do. It doesn't pretend to be what it's not.,2023-03-05 14:37:34+00:00,oxtailavenger,1,0
"@laurencowling_ Anything, but bud light! But hell yeah🤘🏼🤘🏼🤘🏼",2023-03-05 14:31:23+00:00,Jrich903,0,0
"@BuschBeer We have to drink Busch Beer ,Bud light is 5 dollars more! But we like Busch!",2023-03-05 14:30:24+00:00,ambr46007194,0,0
I can tell by that bud light Her food still unseasoned tho..,2023-03-05 14:29:45+00:00,__YngEastjr,1,0
"Bud Light, brotherhood and ‘Mafia’: Inside SF Giants’ ‘awesome’ pre-spring retreat https://t.co/P0A9Iojkbs",2023-03-05 14:26:50+00:00,SealToursTravel,0,0
"Bud Light, brotherhood and ‘Mafia’: Inside SF Giants’ ‘awesome’ pre-spring retreat https://t.co/d5LcE2pTqk",2023-03-05 14:26:36+00:00,amnon96,0,0
@shizzyrocks @AbstractBravo @kkhasissues @tkelce @jacksonmahomes @PatrickMahomes Too many Bud Light Limes.,2023-03-05 14:24:51+00:00,RPMang,0,0
@maxwellcopy You look like you love budlight 😂,2023-03-05 14:19:49+00:00,GodwinnIdoko,1,0
With the bud light in hand is wild 😵‍💫,2023-03-05 14:19:45+00:00,ColossalBias,0,0
Free my Mexican family from the shackles of budlight https://t.co/ZkILFISbSn,2023-03-05 14:14:47+00:00,milfy813,50,1
"Bud Light, brotherhood and ‘Mafia’: Inside SF Giants’ ‘awesome’ pre-spring retreat https://t.co/JBjVfIOiW5",2023-03-05 14:04:46+00:00,SealToursTravel,0,0
"Bud Light, brotherhood and ‘Mafia’: Inside SF Giants’ ‘awesome’ pre-spring retreat https://t.co/bxZOQpY6Zy",2023-03-05 14:04:43+00:00,amnon96,0,0
@StevieReno The bud light huge red flag,2023-03-05 14:03:21+00:00,SeiryokuZenyo,3,0
@TxxRedd They LIT off them BUD LIGHTS!!!!😭😭😂🤣,2023-03-05 14:03:09+00:00,Amphibi1970,2,0
@MarkFromBobs @budlight Does she like football?,2023-03-05 14:01:07+00:00,InflamedElk,1,0
"@ESPNRadio @CourtneyRCronin @KrisBudden @PeterBurnsESPN
Ok I’m not saying it’s right or wrong but if im not at an @OU_Athletics event rooting on the almamater with a @DrPepper or @BudLight im at the house playing my PS5
Is that such a bad thing
#VideoGameAddiction
#BestWeekEver https://t.co/iBEB9B9hvo",2023-03-05 14:00:10+00:00,SoonerFan1982,0,0
"just say you want a white girl and go. 

because my mama can spit this shit along with a bud light and finger guns, too. and she can make biscuits and gravy from scratch after the song. foh. 😮‍💨🤣",2023-03-05 13:56:42+00:00,MissSassbox,8,0
#NowPlaying Bud Light Alma de la Fiesta by L&amp;F Distributors Laredo   https://t.co/2e4xKjVBWP https://t.co/BkTBDqnya6,2023-03-05 13:50:54+00:00,TheCrue103_1FM,0,0
@budlight https://t.co/npbwJNC0sg,2023-03-05 13:48:06+00:00,LadeeBeeDahlia,0,0
@RealBirdLawyer Gotta assume he was at least 10 bud lights deep at that point.,2023-03-05 13:46:39+00:00,BShark5,3,0
@StoneColdSid @penspod_JT Just put a case of Bud Light Platinum &amp; a can of Manwich in the press box and tell him to sit dahn &amp; shut up.,2023-03-05 13:44:32+00:00,benny814in,0,0
"Bud Light, brotherhood and ‘Mafia’: Inside SF Giants’ ‘awesome’ pre-spring retreat https://t.co/JsFSof8J3x",2023-03-05 13:40:36+00:00,VenueVegas,0,0
"Bud Light, brotherhood and 'Mafia': Inside SF Giants' 'awesome' pre-spring retreat – Major League Baseball News https://t.co/FnCi2t99qu",2023-03-05 13:40:05+00:00,USSportsNew2021,0,0
"@jaymarielu Bro at least it was crown
 one time I went out when I had first turned 21 they had $1 beer night (bud light) I never drank beer so I said fuck it brooo I woke up with a ugly ass hangover and I was staying with some girl I was talking too at the time.",2023-03-05 13:35:18+00:00,anagee_,1,0
Rapping Lil Baby with Bud Light in a can is crazy,2023-03-05 13:34:15+00:00,LB4R_Sarge,1,0
"Bud Light, brotherhood and ‘Mafia’: Inside SF Giants’ ‘awesome’ pre-spring retreat https://t.co/A2gBUfnRlE",2023-03-05 13:34:07+00:00,TheParadiseNg,0,0
@summerskyrender @dhaaaat_guy 157 is light work bud it’s getting it’s neck snapped,2023-03-05 13:32:04+00:00,c0chisee,0,0
@Sheenobree Bud Light.,2023-03-05 13:19:35+00:00,MattTarrant,5,0
"Bud Light, brotherhood and 'Mafia'
https://t.co/jYz15G7MqS",2023-03-05 13:09:20+00:00,UsaJaun,0,0
@MeyersTav Not sure what to say. When I visit Wapakoneta and stop by- can I be assured there will be cold bud light available?,2023-03-05 13:08:18+00:00,MikeDabbelt,1,0
"Bud Light, brotherhood and ‘Mafia’: Inside SF Giants’ ‘awesome’ pre-spring retreat https://t.co/mLhTC6jQm3",2023-03-05 13:05:02+00:00,BayAreaSportsHQ,1,1
Nothing screams “I’m a midwest fuck!” Quite like bud light,2023-03-05 13:03:11+00:00,DyllanSelf,1,0
"Bud Light, brotherhood and ‘Mafia’: Inside SF Giants’ ‘awesome’ pre-spring retreat https://t.co/WYkJlDVyEW",2023-03-05 13:01:49+00:00,EastBayTimes,0,0
"Bud Light, brotherhood and ‘Mafia’: Inside SF Giants’ ‘awesome’ pre-spring retreat https://t.co/QwlJPAhBqb",2023-03-05 13:01:28+00:00,mercnews,7,3
